202311280000,{4457: 1.0};202311272100,{2077: 1.0};202311271900,{477: 1.0};202311272315,{96: 1}
202311280015,{4457: 1.0};202311280015,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280030,{4457: 1.0};202311280030,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280030,{4457: 1.0};202311280045,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280115,{4457: 1.0};202311280045,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280300,{4457: 1.0};202311280045,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280315,{4457: 1.0};202311280045,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280315,{4457: 1.0};202311280415,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280530,{4457: 1.0};202311280415,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280545,{4457: 1.0};202311280415,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280600,{4457: 1.0};202311280415,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280615,{4457: 1.0};202311280415,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280615,{4457: 1.0};202311280630,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280700,{4457: 1.0};202311280630,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280700,{4457: 1.0};202311280715,{2077: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280700,{4457: 1.0};202311280845,{2092: 1.0};202311271900,{477: 1.0};202311280000,{98: 1}
202311280700,{4457: 1.0};202311280915,{2103: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311280930,{4466: 1.0};202311280915,{2103: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311280930,{4466: 1.0};202311280945,{2110: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311280930,{4466: 1.0};202311281015,{2118: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311281030,{4474: 1.0};202311281015,{2118: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311281030,{4474: 1.0};202311281045,{2124: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311281100,{4479: 1.0};202311281045,{2124: 1.0};202311280900,{477: 1};202311280000,{98: 1}
202311281130,{4483: 1.0};202311281045,{2124: 1.0};202311281100,{503: 1};202311280000,{98: 1}
202311281215,{4488: 1.0};202311281045,{2124: 1.0};202311281100,{503: 1};202311280000,{98: 1}
202311281315,{4495: 1.0};202311281045,{2124: 1.0};202311281100,{503: 1};202311280000,{98: 1}
202311281315,{4495: 1.0};202311281330,{2161: 1.0};202311281100,{503: 1};202311280000,{98: 1}
202311281315,{4495: 1.0};202311281415,{2168: 1.0};202311281415,{530: 1.0};202311280000,{98: 1}
202311281430,{4502: 1.0};202311281415,{2168: 1.0};202311281415,{530: 1.0};202311280000,{98: 1}
202311281445,{4505: 1.0};202311281415,{2168: 1.0};202311281415,{530: 1.0};202311280000,{98: 1}
202311281500,{4506: 1.0};202311281415,{2168: 1.0};202311281415,{530: 1.0};202311280000,{98: 1}
202311281803,{4535: 1.0};202311281415,{2168: 1.0};202311281500,{537: 1};202311280000,{98: 1}
202311281845,{4541: 1.0};202311281415,{2168: 1.0};202311281500,{537: 1};202311280000,{98: 1}
202311282130,{4567: 1.0};202311281415,{2168: 1.0};202311281900,{548: 1};202311280000,{98: 1}
202311282215,{4575: 1.0};202311281415,{2168: 1.0};202311281900,{548: 1};202311280000,{98: 1}
