202312080220,{5983: 1};202312080140,{3407: 1};202312080230,{1252: 1.0};202312080220,{169: 1}
202312080230,{5983: 1};202312080230,{3407: 1};202312080240,{1252: 1.0};202312080230,{169: 1}
202312080250,{5983: 1};202312080230,{3407: 1};202312080310,{1252: 1.0};202312080230,{169: 1}
202312080310,{5983: 1};202312080310,{3407: 1};202312080320,{1252: 1.0};202312080230,{169: 1}
202312080540,{5983: 1};202312080530,{3407: 1};202312080550,{1252: 1.0};202312080530,{169: 1}
202312080610,{5983: 1};202312080600,{3407: 1};202312080620,{1252: 1.0};202312080610,{169: 1}
202312080630,{5983: 1};202312080630,{3407: 1};202312080640,{1252: 1.0};202312080630,{169: 1}
202312080850,{5998: 1};202312080850,{3429: 1};202312080900,{1259: 1.0};202312080850,{170: 1}
202312080900,{5999: 1};202312080900,{3429: 1};202312080910,{1260: 1.0};202312080850,{170: 1}
202312080910,{6000: 1};202312080900,{3429: 1};202312080920,{1263: 1.0};202312080910,{170: 1}
202312080920,{6002: 1};202312080930,{3441: 1.0};202312080930,{1264: 1.0};202312080910,{170: 1}
202312081020,{6012: 1};202312081010,{3450: 1};202312081030,{1271: 1.0};202312080930,{170: 1}
202312081030,{6015: 1};202312081030,{3459: 1};202312081040,{1273: 1.0};202312080930,{170: 1}
202312081040,{6019: 1};202312081100,{3463: 1};202312081110,{1277: 1.0};202312081040,{170: 1}
202312081110,{6019: 1};202312081140,{3473: 1};202312081150,{1281: 1.0};202312081130,{170: 1}
202312081210,{6025: 1};202312081150,{3479: 1};202312081230,{1286: 1.0};202312081220,{170: 1}
202312081410,{6049: 1.0};202312081340,{3496: 1};202312081350,{1291: 1};202312081400,{170: 1}
202312081420,{6051: 1.0};202312081340,{3496: 1};202312081350,{1291: 1};202312081400,{170: 1}
202312081420,{6051: 1.0};202312081420,{3498: 1};202312081420,{1297: 1};202312081430,{170: 1.0}
202312081420,{6051: 1.0};202312081420,{3498: 1};202312081420,{1297: 1};202312081440,{170: 1.0}
202312081440,{6054: 1};202312081420,{3498: 1};202312081420,{1297: 1};202312081450,{170: 1.0}
202312081440,{6054: 1};202312081450,{3510: 1};202312081420,{1297: 1};202312081500,{170: 1.0}
202312081500,{6057: 1};202312081450,{3510: 1};202312081500,{1301: 1};202312081510,{170: 1.0}
202312081520,{6061: 1.0};202312081450,{3510: 1};202312081500,{1301: 1};202312081510,{170: 1.0}
202312081520,{6061: 1.0};202312081450,{3510: 1};202312081500,{1301: 1};202312081530,{170: 1.0}
202312081540,{6065: 1.0};202312081450,{3510: 1};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081550,{6066: 1.0};202312081450,{3510: 1};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081620,{6070: 1.0};202312081450,{3510: 1};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081630,{6071: 1.0};202312081450,{3510: 1};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081630,{6071: 1.0};202312081650,{3517: 1.0};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081750,{6086: 1.0};202312081650,{3517: 1.0};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081750,{6086: 1.0};202312081800,{3524: 1.0};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081810,{6090: 1.0};202312081800,{3524: 1.0};202312081540,{1304: 1.0};202312081530,{170: 1.0}
202312081810,{6090: 1.0};202312081800,{3524: 1.0};202312081840,{1317: 1.0};202312081840,{170: 1.0}
202312081900,{6101: 1.0};202312081800,{3524: 1.0};202312081840,{1317: 1.0};202312081840,{170: 1.0}
202312081910,{6102: 1.0};202312081800,{3524: 1.0};202312081840,{1317: 1.0};202312081840,{170: 1.0}
202312081930,{6106: 1.0};202312081800,{3524: 1.0};202312081840,{1317: 1.0};202312081840,{170: 1.0}
202312081930,{6106: 1.0};202312081800,{3524: 1.0};202312081840,{1317: 1.0};202312081940,{170: 1.0}
202312081950,{6109: 1.0};202312081950,{3524: 1.0};202312081840,{1317: 1.0};202312081940,{170: 1.0}
202312081950,{6109: 1.0};202312082040,{3524: 1.0};202312081840,{1317: 1.0};202312081940,{170: 1.0}
202312081950,{6109: 1.0};202312082040,{3524: 1.0};202312081840,{1317: 1.0};202312082120,{170: 1.0}
202312082220,{6120: 1.0};202312082040,{3524: 1.0};202312081840,{1317: 1.0};202312082120,{170: 1.0}
202312082240,{6122: 1.0};202312082040,{3524: 1.0};202312081840,{1317: 1.0};202312082120,{170: 1.0}
202312082240,{6122: 1.0};202312082040,{3524: 1.0};202312081840,{1317: 1.0};202312082300,{170: 1.0}
202312082240,{6122: 1.0};202312082040,{3524: 1.0};202312081840,{1317: 1.0};202312082310,{170: 1.0}
202312082340,{6128: 1.0};202312082340,{3524: 1.0};202312081840,{1317: 1.0};202312082310,{170: 1.0}
202312082340,{6128: 1.0};202312082340,{3524: 1.0};202312081840,{1317: 1.0};202312082350,{170: 1.0}
