202312082340,{6128: 1.0};202312082340,{3524: 1.0};202312081840,{1317: 1.0};202312090000,{170: 1.0}
202312082340,{6128: 1.0};202312090010,{3534: 1.0};202312090000,{1317: 1};202312090000,{170: 1.0}
202312082340,{6128: 1.0};202312090010,{3534: 1.0};202312090030,{1317: 1.0};202312090000,{170: 1.0}
202312090040,{6128: 1.0};202312090040,{3534: 1.0};202312090030,{1317: 1.0};202312090000,{170: 1.0}
202312090040,{6128: 1.0};202312090040,{3534: 1.0};202312090030,{1317: 1.0};202312090100,{170: 1.0}
202312090110,{6128: 1.0};202312090040,{3534: 1.0};202312090030,{1317: 1.0};202312090100,{170: 1.0}
202312090140,{6128: 1.0};202312090140,{3534: 1.0};202312090030,{1317: 1.0};202312090100,{170: 1.0}
202312090140,{6128: 1.0};202312090200,{3534: 1.0};202312090030,{1317: 1.0};202312090100,{170: 1.0}
202312090140,{6128: 1.0};202312090200,{3534: 1.0};202312090240,{1317: 1.0};202312090100,{170: 1.0}
202312090140,{6128: 1.0};202312090250,{3534: 1.0};202312090240,{1317: 1.0};202312090100,{170: 1.0}
202312090400,{6128: 1.0};202312090250,{3534: 1.0};202312090240,{1317: 1.0};202312090100,{170: 1.0}
202312090400,{6128: 1.0};202312090250,{3534: 1.0};202312090410,{1317: 1.0};202312090100,{170: 1.0}
202312090400,{6128: 1.0};202312090250,{3534: 1.0};202312090410,{1317: 1.0};202312090520,{170: 1.0}
202312090400,{6128: 1.0};202312090530,{3534: 1.0};202312090410,{1317: 1.0};202312090520,{170: 1.0}
202312090400,{6128: 1.0};202312090530,{3534: 1.0};202312090410,{1317: 1.0};202312090550,{170: 1.0}
202312090400,{6128: 1.0};202312090600,{3534: 1.0};202312090410,{1317: 1.0};202312090550,{170: 1.0}
202312090630,{6128: 1.0};202312090600,{3534: 1.0};202312090410,{1317: 1.0};202312090630,{170: 1.0}
202312090640,{6128: 1.0};202312090600,{3534: 1.0};202312090410,{1317: 1.0};202312090630,{170: 1.0}
202312090650,{6128: 1.0};202312090600,{3534: 1.0};202312090410,{1317: 1.0};202312090650,{170: 1.0}
202312090700,{6128: 1.0};202312090600,{3534: 1.0};202312090410,{1317: 1.0};202312090650,{170: 1.0}
202312090720,{6128: 1.0};202312090600,{3534: 1.0};202312090410,{1317: 1.0};202312090720,{170: 1.0}
202312090830,{6136: 1.0};202312090600,{3534: 1.0};202312090750,{1317: 1};202312090750,{170: 1}
202312090850,{6141: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312090750,{170: 1}
202312090910,{6143: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312090750,{170: 1}
202312090930,{6143: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312090930,{170: 1.0}
202312090930,{6143: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312091000,{170: 1.0}
202312091010,{6143: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312091000,{170: 1.0}
202312091020,{6143: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312091020,{170: 1.0}
202312091020,{6143: 1.0};202312090830,{3534: 1};202312090750,{1317: 1};202312091050,{170: 1.0}
202312091020,{6143: 1.0};202312091100,{3534: 1.0};202312090750,{1317: 1};202312091050,{170: 1.0}
202312091020,{6143: 1.0};202312091120,{3545: 1.0};202312090750,{1317: 1};202312091120,{170: 1.0}
202312091020,{6143: 1.0};202312091120,{3545: 1.0};202312090750,{1317: 1};202312091130,{170: 1.0}
202312091020,{6143: 1.0};202312091120,{3545: 1.0};202312090750,{1317: 1};202312091150,{170: 1.0}
202312091020,{6143: 1.0};202312091150,{3551: 1};202312091150,{1317: 1};202312091220,{170: 1.0}
202312091020,{6143: 1.0};202312091350,{3551: 1.0};202312091150,{1317: 1};202312091220,{170: 1.0}
202312091410,{6163: 1.0};202312091410,{3551: 1.0};202312091150,{1317: 1};202312091410,{171: 1.0}
202312091410,{6163: 1.0};202312091410,{3551: 1.0};202312091420,{1325: 1.0};202312091410,{171: 1.0}
202312091410,{6163: 1.0};202312091410,{3551: 1.0};202312091430,{1327: 1.0};202312091410,{171: 1.0}
202312091410,{6163: 1.0};202312091410,{3551: 1.0};202312091430,{1327: 1.0};202312091440,{171: 1.0}
202312091410,{6163: 1.0};202312091450,{3551: 1};202312091500,{1331: 1};202312091510,{171: 1.0}
202312091410,{6163: 1.0};202312091510,{3551: 1};202312091500,{1331: 1};202312091520,{171: 1.0}
