202312090000,{};202312090000,{3534: 1};202312090000,{1317: 1};202312090000,{170: 1}
202312090010,{};202312090010,{3534: 1};202312090010,{1317: 1};202312090010,{}
202312090750,{};202312090750,{};202312090750,{1317: 1};202312090750,{170: 1}
202312090830,{6136: 1};202312090830,{3534: 1};202312090830,{};202312090830,{}
202312090840,{6139: 1};202312090840,{};202312090840,{};202312090840,{}
202312090850,{6141: 1};202312090850,{};202312090850,{};202312090850,{}
202312090910,{6143: 1};202312090910,{};202312090910,{};202312090910,{}
202312090920,{6143: 1};202312090920,{};202312090920,{};202312090920,{}
202312091150,{};202312091150,{3551: 1};202312091150,{1317: 1};202312091150,{170: 1}
202312091350,{};202312091350,{3551: 1};202312091350,{};202312091350,{171: 1}
202312091410,{6163: 1};202312091410,{3551: 1};202312091410,{1323: 1};202312091410,{171: 1}
202312091420,{};202312091420,{};202312091420,{1325: 1};202312091420,{}
202312091430,{};202312091430,{};202312091430,{1327: 1};202312091430,{}
202312091440,{};202312091440,{};202312091440,{1329: 1};202312091440,{171: 1}
202312091450,{};202312091450,{3551: 1};202312091450,{};202312091450,{171: 1}
202312091500,{};202312091500,{};202312091500,{1331: 1};202312091500,{}
202312091510,{};202312091510,{3551: 1};202312091510,{};202312091510,{}
202312091530,{6172: 1};202312091530,{};202312091530,{1331: 1};202312091530,{171: 1}
202312091540,{6173: 1};202312091540,{};202312091540,{};202312091540,{}
202312091550,{6174: 1};202312091550,{};202312091550,{1331: 1};202312091550,{}
202312091630,{6177: 1};202312091630,{3551: 1};202312091630,{};202312091630,{}
202312091640,{6178: 1};202312091640,{};202312091640,{};202312091640,{}
202312091650,{};202312091650,{};202312091650,{1332: 1};202312091650,{}
202312091710,{6183: 1};202312091710,{};202312091710,{};202312091710,{}
202312091730,{5347: 1};202312091730,{};202312091730,{};202312091730,{}
202312091740,{6187: 1};202312091740,{};202312091740,{1332: 1};202312091740,{}
202312091750,{6188: 1};202312091750,{};202312091750,{};202312091750,{}
202312091810,{};202312091810,{3569: 1};202312091810,{};202312091810,{}
202312091820,{};202312091820,{};202312091820,{1332: 1};202312091820,{}
202312091840,{6193: 1};202312091840,{};202312091840,{};202312091840,{}
202312091850,{6195: 1};202312091850,{3569: 1};202312091850,{};202312091850,{}
202312091900,{6196: 1};202312091900,{};202312091900,{1335: 1};202312091900,{}
202312091920,{};202312091920,{3569: 1};202312091920,{6689: 1};202312091920,{172: 1}
202312091930,{6199: 1};202312091930,{};202312091930,{1343: 1};202312091930,{172: 1}
202312091950,{6201: 1};202312091950,{3569: 1};202312091950,{1346: 1};202312091950,{172: 1}
