202312110010,{6410: 1.0};202312101630,{3602: 1};202312101530,{1396: 1};202312110000,{176: 1}
202312110040,{6421: 1};202312110040,{3609: 1};202312101530,{1396: 1};202312110050,{176: 1.0}
202312110120,{6429: 1};202312110120,{3609: 1};202312110050,{1396: 1};202312110220,{176: 1.0}
202312110300,{6429: 1.0};202312110120,{3609: 1};202312110050,{1396: 1};202312110220,{176: 1.0}
202312110300,{6429: 1.0};202312110330,{3620: 0.8455, 3628: 0.1545};202312110050,{1396: 1};202312110220,{176: 1.0}
202312110640,{6491: 1};202312110710,{3662: 0.5044, 3664: 0.4956};202312110640,{1396: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312110720,{3664: 0.5473, 3667: 0.4527};202312110640,{1396: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312110730,{3670: 1.0};202312110640,{1396: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111300,{3707: 1.0};202312111250,{1413: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111300,{3707: 1.0};202312111400,{1422: 1.0};202312110600,{177: 1}
202312110640,{6491: 1};202312111700,{3813: 1.0};202312111650,{1432: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111730,{3822: 1.0};202312111720,{1433: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111800,{3830: 1.0};202312111750,{1433: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111830,{3834: 0.415, 3837: 0.585};202312111810,{1433: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111900,{3846: 1.0};202312111810,{1433: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312111910,{3847: 1.0};202312111810,{1433: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312112000,{3847: 1.0};202312111950,{1440: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312112010,{3847: 1.0};202312111950,{1440: 1};202312110600,{177: 1}
202312110640,{6491: 1};202312112010,{3847: 1.0};202312112030,{1441: 1};202312112040,{233: 1.0}
202312110640,{6491: 1};202312112100,{3847: 1.0};202312112030,{1441: 1};202312112040,{233: 1.0}
202312110640,{6491: 1};202312112100,{3847: 1.0};202312112100,{1441: 1};202312112110,{236: 1.0}
202312110640,{6491: 1};202312112150,{3847: 1.0};202312112100,{1441: 1};202312112110,{236: 1.0}
202312110640,{6491: 1};202312112150,{3847: 1.0};202312112220,{1441: 1};202312112230,{238: 1.0}
202312112340,{6501: 0.5152, 6503: 0.4569, 6507: 0.028};202312112340,{3847: 1.0};202312112220,{1441: 1};202312112230,{238: 1.0}
