202312142310,{6891: 1.0};202312150000,{4220: 0.0037, 4228: 0.9963};202312141900,{1636: 1.0};202312150000,{237: 1.0}
202312150010,{6893: 1.0};202312150000,{4220: 0.0037, 4228: 0.9963};202312141900,{1636: 1.0};202312150010,{237: 1.0}
202312150010,{6893: 1.0};202312150020,{4220: 0.0028, 4228: 0.9972};202312141900,{1636: 1.0};202312150010,{237: 1.0}
202312150010,{6893: 1.0};202312150030,{4220: 0.0021, 4228: 0.9979};202312150030,{1636: 1.0};202312150010,{237: 1.0}
202312150010,{6893: 1.0};202312150040,{4220: 0.0016, 4228: 0.9984};202312150030,{1636: 1.0};202312150010,{237: 1.0}
202312150010,{6893: 1.0};202312150100,{4220: 0.0012, 4228: 0.9988};202312150030,{1636: 1.0};202312150010,{237: 1.0}
202312150010,{6893: 1.0};202312150120,{4228: 1.0};202312150030,{1636: 1.0};202312150010,{237: 1.0}
202312150010,{6893: 1.0};202312150120,{4228: 1.0};202312150030,{1636: 1.0};202312150140,{237: 1.0}
202312150010,{6893: 1.0};202312150150,{4228: 1.0};202312150030,{1636: 1.0};202312150140,{237: 1.0}
202312150010,{6893: 1.0};202312150150,{4228: 1.0};202312150030,{1636: 1.0};202312150200,{237: 1.0}
202312150010,{6893: 1.0};202312150150,{4228: 1.0};202312150030,{1636: 1.0};202312150230,{237: 1.0}
202312150010,{6893: 1.0};202312150240,{4228: 1.0};202312150030,{1636: 1.0};202312150230,{237: 1.0}
202312150010,{6893: 1.0};202312150240,{4228: 1.0};202312150030,{1636: 1.0};202312150250,{237: 1.0}
202312150010,{6893: 1.0};202312150300,{4228: 1.0};202312150030,{1636: 1.0};202312150250,{237: 1.0}
202312150010,{6893: 1.0};202312150310,{4228: 1.0};202312150030,{1636: 1.0};202312150250,{237: 1.0}
202312150010,{6893: 1.0};202312150320,{4228: 1.0};202312150030,{1636: 1.0};202312150250,{237: 1.0}
202312150010,{6893: 1.0};202312150320,{4228: 1.0};202312150030,{1636: 1.0};202312150330,{237: 1.0}
202312150010,{6893: 1.0};202312150400,{4228: 1.0};202312150030,{1636: 1.0};202312150330,{237: 1.0}
202312150010,{6893: 1.0};202312150420,{4228: 1.0};202312150030,{1636: 1.0};202312150420,{237: 1.0}
202312150010,{6893: 1.0};202312150420,{4228: 1.0};202312150030,{1636: 1.0};202312150430,{237: 1.0}
202312150010,{6893: 1.0};202312150420,{4228: 1.0};202312150030,{1636: 1.0};202312150440,{237: 1.0}
202312150010,{6893: 1.0};202312150450,{4228: 1.0};202312150030,{1636: 1.0};202312150450,{237: 1.0}
202312150010,{6893: 1.0};202312150510,{4228: 1.0};202312150030,{1636: 1.0};202312150450,{237: 1.0}
202312150010,{6893: 1.0};202312150520,{4228: 1.0};202312150520,{1636: 1.0};202312150450,{237: 1.0}
202312150010,{6893: 1.0};202312150540,{4228: 1.0};202312150540,{1636: 1.0};202312150540,{237: 1.0}
202312150010,{6893: 1.0};202312150540,{4228: 1.0};202312150540,{1636: 1.0};202312150550,{237: 1.0}
202312150010,{6893: 1.0};202312150600,{4228: 1.0};202312150540,{1636: 1.0};202312150550,{237: 1.0}
202312150010,{6893: 1.0};202312150610,{4228: 1.0};202312150540,{1636: 1.0};202312150550,{237: 1.0}
202312150010,{6893: 1.0};202312150610,{4228: 1.0};202312150540,{1636: 1.0};202312150620,{237: 1.0}
202312150010,{6893: 1.0};202312150630,{4228: 1.0};202312150540,{1636: 1.0};202312150620,{237: 1.0}
202312150010,{6893: 1.0};202312150630,{4228: 1.0};202312150540,{1636: 1.0};202312150650,{237: 1.0}
202312150010,{6893: 1.0};202312150720,{4244: 0.769, 4247: 0.231};202312150540,{1636: 1.0};202312150720,{237: 1.0}
202312150010,{6893: 1.0};202312150740,{4250: 1.0};202312150540,{1636: 1.0};202312150720,{237: 1.0}
202312150010,{6893: 1.0};202312150750,{4252: 1.0};202312150540,{1636: 1.0};202312150750,{237: 1.0}
202312150010,{6893: 1.0};202312150750,{4252: 1.0};202312150540,{1636: 1.0};202312150810,{237: 1.0}
202312150010,{6893: 1.0};202312150830,{4261: 0.5339, 4263: 0.3385, 4267: 0.1275};202312150540,{1636: 1.0};202312150810,{237: 1.0}
202312150010,{6893: 1.0};202312150830,{4261: 0.5339, 4263: 0.3385, 4267: 0.1275};202312150540,{1636: 1.0};202312150850,{237: 1.0}
202312150010,{6893: 1.0};202312150900,{4268: 1.0};202312150540,{1636: 1.0};202312150850,{237: 1.0}
202312150010,{6893: 1.0};202312150910,{4269: 1.0};202312150540,{1636: 1.0};202312150910,{237: 1.0}
202312150010,{6893: 1.0};202312150920,{4271: 0.8504, 4273: 0.1496};202312150540,{1636: 1.0};202312150910,{237: 1.0}
202312150010,{6893: 1.0};202312150930,{4274: 0.9602, 4277: 0.0398};202312150540,{1636: 1.0};202312150910,{237: 1.0}
202312150010,{6893: 1.0};202312150930,{4274: 0.9602, 4277: 0.0398};202312150540,{1636: 1.0};202312150940,{237: 1.0}
202312150010,{6893: 1.0};202312151000,{4281: 0.5988, 4283: 0.3337, 4287: 0.0676};202312150540,{1636: 1.0};202312150940,{237: 1.0}
202312150010,{6893: 1.0};202312151000,{4281: 0.5988, 4283: 0.3337, 4287: 0.0676};202312150540,{1636: 1.0};202312151010,{237: 1.0}
202312150010,{6893: 1.0};202312151020,{4285: 1.0};202312150540,{1636: 1.0};202312151020,{237: 1.0}
202312151030,{6921: 0.4453, 6923: 0.448, 6927: 0.1067};202312151030,{4286: 1.0};202312150540,{1636: 1.0};202312151020,{237: 1.0}
202312151030,{6921: 0.4453, 6923: 0.448, 6927: 0.1067};202312151030,{4286: 1.0};202312150540,{1636: 1.0};202312151040,{237: 1.0}
202312151050,{6926: 1.0};202312151050,{4291: 0.7383, 4293: 0.2617};202312150540,{1636: 1.0};202312151040,{237: 1.0}
202312151050,{6926: 1.0};202312151110,{4295: 1.0};202312150540,{1636: 1.0};202312151040,{237: 1.0}
202312151120,{6930: 1.0};202312151110,{4295: 1.0};202312150540,{1636: 1.0};202312151040,{237: 1.0}
