202312240040,{8006: 1.0};202312232320,{5329: 1};202312240020,{2178: 1};202312182340,{262: 1.0}
202312240750,{8006: 1.0};202312240730,{5329: 1};202312240720,{2181: 1};202312182340,{262: 1.0}
202312241020,{8010: 1.0};202312241010,{5330: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241050,{8011: 1.0};202312241020,{5335: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241150,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241340,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241350,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241400,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241640,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241700,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241710,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241740,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241840,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312241850,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312242010,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312242020,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312242030,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312242220,{8016: 1.0};202312241100,{5345: 1};202312241020,{2181: 1.0};202312182340,{262: 1.0}
202312242220,{8016: 1.0};202312241100,{5345: 1};202312242230,{2181: 1.0};202312182340,{262: 1.0}
202312242250,{8016: 1.0};202312241100,{5345: 1};202312242230,{2181: 1.0};202312182340,{262: 1.0}
202312242330,{8016: 1.0};202312241100,{5345: 1};202312242230,{2181: 1.0};202312182340,{262: 1.0}
202312242340,{8016: 1.0};202312241100,{5345: 1};202312242230,{2181: 1.0};202312182340,{262: 1.0}
