202401042350,{8261: 0.7567, 8263: 0.2433};202401050000,{6090: 0.2892, 6093: 0.7108};202401050000,{2849: 1.0};202401030400,{270: 1.0}
202401042350,{8261: 0.7567, 8263: 0.2433};202401050010,{6093: 1.0};202401050010,{2849: 1.0};202401030400,{270: 1.0}
202401050030,{8261: 0.8051, 8263: 0.1949};202401050010,{6093: 1.0};202401050010,{2849: 1.0};202401030400,{270: 1.0}
202401050040,{8261: 0.8398, 8263: 0.1602};202401050010,{6093: 1.0};202401050010,{2849: 1.0};202401030400,{270: 1.0}
202401050050,{8261: 0.8744, 8263: 0.1256};202401050010,{6093: 1.0};202401050050,{2849: 1.0};202401030400,{270: 1.0}
202401050100,{8261: 0.906, 8263: 0.094};202401050010,{6093: 1.0};202401050100,{2849: 1.0};202401030400,{270: 1.0}
202401050100,{8261: 0.906, 8263: 0.094};202401050010,{6093: 1.0};202401050110,{2849: 1.0};202401030400,{270: 1.0}
202401050120,{8261: 0.9312, 8263: 0.0688};202401050010,{6093: 1.0};202401050110,{2849: 1.0};202401030400,{270: 1.0}
202401050130,{8261: 0.9448, 8263: 0.0552};202401050010,{6093: 1.0};202401050110,{2849: 1.0};202401030400,{270: 1.0}
202401050150,{8261: 0.9568, 8263: 0.0432};202401050010,{6093: 1.0};202401050110,{2849: 1.0};202401030400,{270: 1.0}
202401050200,{8261: 0.9656, 8263: 0.0344};202401050010,{6093: 1.0};202401050200,{2849: 1.0};202401030400,{270: 1.0}
202401050200,{8261: 0.9656, 8263: 0.0344};202401050010,{6093: 1.0};202401050210,{2849: 1.0};202401030400,{270: 1.0}
202401050220,{8261: 0.975, 8263: 0.025};202401050010,{6093: 1.0};202401050210,{2849: 1.0};202401030400,{270: 1.0}
202401050240,{8261: 0.981, 8263: 0.019};202401050010,{6093: 1.0};202401050240,{2849: 1.0};202401030400,{270: 1.0}
202401050300,{8261: 0.9848, 8263: 0.0152};202401050010,{6093: 1.0};202401050240,{2849: 1.0};202401030400,{270: 1.0}
202401050330,{8261: 0.9874, 8263: 0.0126};202401050010,{6093: 1.0};202401050240,{2849: 1.0};202401030400,{270: 1.0}
202401050330,{8261: 0.9874, 8263: 0.0126};202401050010,{6093: 1.0};202401050400,{2849: 1.0};202401030400,{270: 1.0}
202401050430,{8261: 0.9907, 8263: 0.0093};202401050010,{6093: 1.0};202401050430,{2849: 1.0};202401030400,{270: 1.0}
202401050440,{8261: 0.9929, 8263: 0.0071};202401050010,{6093: 1.0};202401050430,{2849: 1.0};202401030400,{270: 1.0}
202401050510,{8261: 0.9941, 8263: 0.0059};202401050010,{6093: 1.0};202401050430,{2849: 1.0};202401030400,{270: 1.0}
202401050520,{8261: 0.9954, 8263: 0.0046};202401050010,{6093: 1.0};202401050430,{2849: 1.0};202401030400,{270: 1.0}
202401050530,{8261: 0.9964, 8263: 0.0036};202401050010,{6093: 1.0};202401050430,{2849: 1.0};202401030400,{270: 1.0}
202401050530,{8261: 0.9964, 8263: 0.0036};202401050010,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050600,{8261: 0.9971, 8263: 0.0029};202401050010,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050610,{8261: 0.9976, 8263: 0.0024};202401050010,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050620,{8261: 0.9981, 8263: 0.0019};202401050010,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050640,{8261: 0.9985, 8263: 0.0015};202401050640,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050640,{8261: 0.9985, 8263: 0.0015};202401050700,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050710,{8261: 0.9988, 8263: 0.0012};202401050700,{6093: 1.0};202401050540,{2849: 1.0};202401030400,{270: 1.0}
202401050710,{8261: 0.9988, 8263: 0.0012};202401050700,{6093: 1.0};202401050730,{2849: 1.0};202401030400,{270: 1.0}
202401050710,{8261: 0.9988, 8263: 0.0012};202401050740,{6113: 1.0};202401050730,{2849: 1.0};202401030400,{270: 1.0}
202401050710,{8261: 0.9988, 8263: 0.0012};202401050740,{6113: 1.0};202401050800,{2849: 1.0};202401030400,{270: 1.0}
202401050810,{8261: 1.0};202401050810,{6117: 0.4444, 6119: 0.5556};202401050800,{2849: 1.0};202401030400,{270: 1.0}
202401050820,{8261: 1.0};202401050820,{6122: 1.0};202401050820,{2849: 1.0};202401030400,{270: 1.0}
202401050830,{8261: 1.0};202401050820,{6122: 1.0};202401050820,{2849: 1.0};202401030400,{270: 1.0}
202401051050,{8261: 1.0};202401050820,{6122: 1.0};202401051050,{2853: 1.0};202401030400,{270: 1.0}
202401051050,{8261: 1.0};202401051100,{6152: 1.0};202401051100,{2854: 1.0};202401030400,{270: 1.0}
202401051050,{8261: 1.0};202401051100,{6152: 1.0};202401051110,{2855: 1.0};202401030400,{270: 1.0}
202401051130,{8261: 1.0};202401051130,{6153: 1.0};202401051110,{2855: 1.0};202401030400,{270: 1.0}
202401051140,{8261: 1.0};202401051130,{6153: 1.0};202401051140,{2857: 1.0};202401030400,{270: 1.0}
202401051150,{8261: 1.0};202401051130,{6153: 1.0};202401051150,{2858: 1.0};202401030400,{270: 1.0}
202401051200,{8261: 1.0};202401051130,{6153: 1.0};202401051150,{2858: 1.0};202401030400,{270: 1.0}
202401051210,{8261: 1.0};202401051130,{6153: 1.0};202401051210,{2860: 1.0};202401030400,{270: 1.0}
