202401280000,{857: 1.0};202401272310,{9158: 1.0};202401280000,{5281: 0.4911, 5283: 0.5089};202401280000,{348: 1.0}
202401280000,{857: 1.0};202401280020,{9158: 1.0};202401280020,{5283: 0.6081, 5287: 0.3919};202401280020,{348: 1.0}
202401280000,{857: 1.0};202401280020,{9158: 1.0};202401280030,{5287: 1.0};202401280020,{348: 1.0}
202401280000,{857: 1.0};202401280020,{9158: 1.0};202401280040,{5289: 1.0};202401280020,{348: 1.0}
202401280000,{857: 1.0};202401280020,{9158: 1.0};202401280100,{5293: 1.0};202401280020,{348: 1.0}
202401280000,{857: 1.0};202401280020,{9158: 1.0};202401280110,{5294: 1.0};202401280020,{348: 1.0}
202401280000,{857: 1.0};202401280120,{9158: 1.0};202401280110,{5294: 1.0};202401280020,{348: 1.0}
202401280130,{861: 0.0288, 867: 0.9712};202401280130,{9158: 1.0};202401280130,{5294: 1.0};202401280020,{348: 1.0}
202401280140,{863: 0.0499, 868: 0.9501};202401280130,{9158: 1.0};202401280130,{5294: 1.0};202401280020,{348: 1.0}
202401280140,{863: 0.0499, 868: 0.9501};202401280150,{9158: 1.0};202401280130,{5294: 1.0};202401280020,{348: 1.0}
202401280200,{871: 0.9773, 873: 0.0227};202401280150,{9158: 1.0};202401280130,{5294: 1.0};202401280020,{348: 1.0}
202401280200,{871: 0.9773, 873: 0.0227};202401280220,{9158: 1.0};202401280130,{5294: 1.0};202401280220,{348: 1.0}
202401280200,{871: 0.9773, 873: 0.0227};202401280220,{9158: 1.0};202401280130,{5294: 1.0};202401280230,{348: 1.0}
202401280200,{871: 0.9773, 873: 0.0227};202401280220,{9158: 1.0};202401280240,{5294: 1.0};202401280230,{348: 1.0}
202401280310,{874: 1.0};202401280220,{9158: 1.0};202401280240,{5294: 1.0};202401280310,{348: 1.0}
202401280320,{874: 1.0};202401280220,{9158: 1.0};202401280240,{5294: 1.0};202401280310,{348: 1.0}
202401280320,{874: 1.0};202401280330,{9158: 1.0};202401280240,{5294: 1.0};202401280330,{348: 1.0}
202401280340,{874: 1.0};202401280330,{9158: 1.0};202401280240,{5294: 1.0};202401280340,{348: 1.0}
202401280340,{874: 1.0};202401280350,{9158: 1.0};202401280240,{5294: 1.0};202401280340,{348: 1.0}
202401280340,{874: 1.0};202401280350,{9158: 1.0};202401280400,{5294: 1.0};202401280340,{348: 1.0}
202401280410,{874: 1.0};202401280350,{9158: 1.0};202401280400,{5294: 1.0};202401280340,{348: 1.0}
202401280410,{874: 1.0};202401280350,{9158: 1.0};202401280400,{5294: 1.0};202401280430,{348: 1.0}
202401280410,{874: 1.0};202401280350,{9158: 1.0};202401280440,{5294: 1.0};202401280430,{348: 1.0}
202401280410,{874: 1.0};202401280350,{9158: 1.0};202401280450,{5294: 1.0};202401280430,{348: 1.0}
