202402060030,{1568: 1.0};202402060050,{269: 1.0};202402060040,{5923: 1};202402060030,{435: 1.0}
202402060030,{1568: 1.0};202402060100,{269: 1.0};202402060040,{5923: 1};202402060100,{435: 1.0}
202402060030,{1568: 1.0};202402060100,{269: 1.0};202402060040,{5923: 1};202402060110,{435: 1.0}
202402060120,{1568: 1.0};202402060120,{269: 1.0};202402060040,{5923: 1};202402060110,{435: 1.0}
202402060130,{1568: 1.0};202402060120,{269: 1.0};202402060040,{5923: 1};202402060110,{435: 1.0}
202402060140,{1568: 1.0};202402060120,{269: 1.0};202402060040,{5923: 1};202402060140,{435: 1.0}
202402060140,{1568: 1.0};202402060120,{269: 1.0};202402060040,{5923: 1};202402060150,{435: 1.0}
202402060200,{1568: 1.0};202402060120,{269: 1.0};202402060040,{5923: 1};202402060200,{435: 1.0}
202402060200,{1568: 1.0};202402060210,{269: 1.0};202402060040,{5923: 1};202402060210,{435: 1.0}
202402060230,{1568: 1.0};202402060210,{269: 1.0};202402060040,{5923: 1};202402060210,{435: 1.0}
202402060240,{1568: 1.0};202402060210,{269: 1.0};202402060040,{5923: 1};202402060210,{435: 1.0}
202402060240,{1568: 1.0};202402060210,{269: 1.0};202402060040,{5923: 1};202402060300,{435: 1.0}
202402060240,{1568: 1.0};202402060310,{269: 1.0};202402060040,{5923: 1};202402060300,{435: 1.0}
202402060320,{1568: 1.0};202402060310,{269: 1.0};202402060040,{5923: 1};202402060320,{435: 1.0}
202402060320,{1568: 1.0};202402060310,{269: 1.0};202402060040,{5923: 1};202402060330,{435: 1.0}
202402060340,{1568: 1.0};202402060310,{269: 1.0};202402060040,{5923: 1};202402060330,{435: 1.0}
202402060400,{1568: 1.0};202402060310,{269: 1.0};202402060400,{5923: 1.0};202402060330,{435: 1.0}
202402060400,{1568: 1.0};202402060310,{269: 1.0};202402060400,{5923: 1.0};202402060410,{435: 1.0}
202402060400,{1568: 1.0};202402060310,{269: 1.0};202402060400,{5923: 1.0};202402060440,{435: 1.0}
202402060450,{1568: 1.0};202402060310,{269: 1.0};202402060400,{5923: 1.0};202402060440,{435: 1.0}
202402060450,{1568: 1.0};202402060540,{269: 1.0};202402060400,{5923: 1.0};202402060440,{435: 1.0}
202402060550,{1570: 0.0114, 1578: 0.9886};202402060540,{269: 1.0};202402060400,{5923: 1.0};202402060440,{435: 1.0}
202402060550,{1570: 0.0114, 1578: 0.9886};202402060540,{269: 1.0};202402060400,{5923: 1.0};202402060600,{435: 1.0}
202402060550,{1570: 0.0114, 1578: 0.9886};202402060540,{269: 1.0};202402060400,{5923: 1.0};202402060610,{435: 1.0}
202402060630,{1582: 0.3108, 1583: 0.6892};202402060540,{269: 1.0};202402060400,{5923: 1.0};202402060630,{435: 1.0}
202402060630,{1582: 0.3108, 1583: 0.6892};202402060540,{269: 1.0};202402060640,{5923: 1.0};202402060630,{435: 1.0}
202402060650,{1583: 1.0};202402060540,{269: 1.0};202402060640,{5923: 1.0};202402060630,{435: 1.0}
202402060650,{1583: 1.0};202402060710,{271: 0.8723, 273: 0.1277};202402060640,{5923: 1.0};202402060630,{435: 1.0}
202402060720,{1589: 1.0};202402060710,{271: 0.8723, 273: 0.1277};202402060640,{5923: 1.0};202402060630,{435: 1.0}
202402060720,{1589: 1.0};202402060710,{271: 0.8723, 273: 0.1277};202402060730,{5923: 1.0};202402060630,{435: 1.0}
202402060740,{1592: 1.0};202402060710,{271: 0.8723, 273: 0.1277};202402060730,{5923: 1.0};202402060630,{435: 1.0}
202402060800,{1594: 1.0};202402060710,{271: 0.8723, 273: 0.1277};202402060730,{5923: 1.0};202402060630,{435: 1.0}
202402060820,{1596: 1.0};202402060820,{303: 1.0};202402060730,{5923: 1.0};202402060630,{435: 1.0}
202402060830,{1597: 1.0};202402060820,{303: 1.0};202402060730,{5923: 1.0};202402060630,{435: 1.0}
202402060830,{1597: 1.0};202402060820,{303: 1.0};202402060730,{5923: 1.0};202402060840,{435: 1.0}
202402060830,{1597: 1.0};202402060820,{303: 1.0};202402060730,{5923: 1.0};202402060910,{435: 1.0}
202402060920,{1602: 0.3294, 1603: 0.6706};202402060820,{303: 1.0};202402060730,{5923: 1.0};202402060910,{435: 1.0}
202402060920,{1602: 0.3294, 1603: 0.6706};202402060820,{303: 1.0};202402060730,{5923: 1.0};202402060930,{435: 1.0}
202402060920,{1602: 0.3294, 1603: 0.6706};202402060820,{303: 1.0};202402060930,{5928: 1};202402060940,{435: 1.0}
202402060920,{1602: 0.3294, 1603: 0.6706};202402060950,{307: 1.0};202402060930,{5928: 1};202402060950,{435: 1.0}
202402061000,{1608: 1.0};202402060950,{307: 1.0};202402060930,{5928: 1};202402061000,{435: 1.0}
202402061000,{1608: 1.0};202402061010,{310: 1.0};202402060930,{5928: 1};202402061010,{435: 1.0}
202402061000,{1608: 1.0};202402061030,{315: 1.0};202402061020,{5930: 1};202402061030,{435: 1.0}
202402061040,{1613: 1.0};202402061040,{318: 1.0};202402061020,{5930: 1};202402061030,{435: 1.0}
202402061110,{1616: 1.0};202402061040,{318: 1.0};202402061050,{5931: 1};202402061110,{435: 1.0}
202402061110,{1616: 1.0};202402061130,{327: 1.0};202402061050,{5931: 1};202402061110,{435: 1.0}
202402061110,{1616: 1.0};202402061130,{327: 1.0};202402061050,{5931: 1};202402061140,{435: 1.0}
202402061110,{1616: 1.0};202402061200,{330: 1.0};202402061050,{5931: 1};202402061140,{435: 1.0}
202402061110,{1616: 1.0};202402061210,{330: 1.0};202402061050,{5931: 1};202402061140,{435: 1.0}
202402061110,{1616: 1.0};202402061210,{330: 1.0};202402061050,{5931: 1};202402061220,{435: 1.0}
202402061230,{1622: 1.0};202402061210,{330: 1.0};202402061050,{5931: 1};202402061220,{435: 1.0}
202402061240,{1623: 1.0};202402061210,{330: 1.0};202402061050,{5931: 1};202402061220,{435: 1.0}
202402061240,{1623: 1.0};202402061250,{336: 1.0};202402061050,{5931: 1};202402061220,{435: 1.0}
202402061300,{1625: 1.0};202402061250,{336: 1.0};202402061300,{5938: 1.0};202402061300,{435: 1.0}
202402061300,{1625: 1.0};202402061250,{336: 1.0};202402061300,{5938: 1.0};202402061310,{435: 1.0}
202402061300,{1625: 1.0};202402061250,{336: 1.0};202402061300,{5938: 1.0};202402061320,{435: 1.0}
202402061300,{1625: 1.0};202402061350,{340: 1.0};202402061340,{5939: 1};202402061320,{435: 1.0}
202402061450,{1628: 1.0};202402061450,{342: 0.3778, 344: 0.6222};202402061440,{5940: 1};202402061320,{435: 1.0}
202402061500,{1630: 1.0};202402061500,{348: 1.0};202402061440,{5940: 1};202402061320,{435: 1.0}
202402061510,{1631: 1.0};202402061500,{348: 1.0};202402061440,{5940: 1};202402061320,{435: 1.0}
202402061520,{1632: 1.0};202402061500,{348: 1.0};202402061510,{5944: 1};202402061320,{435: 1.0}
202402061530,{1633: 1.0};202402061530,{352: 0.5104, 353: 0.4896};202402061510,{5944: 1};202402061320,{435: 1.0}
202402061530,{1633: 1.0};202402061530,{352: 0.5104, 353: 0.4896};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061600,{1635: 1.0};202402061600,{354: 1.0};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061610,{1636: 1.0};202402061600,{354: 1.0};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061620,{1637: 1.0};202402061620,{360: 1.0};202402061510,{5944: 1};202402061540,{435: 1.0}
202402061630,{1638: 1.0};202402061620,{360: 1.0};202402061620,{5952: 1};202402061540,{435: 1.0}
202402061630,{1638: 1.0};202402061640,{366: 1.0};202402061620,{5952: 1};202402061540,{435: 1.0}
