time,command
2023-10-17-00-21-10,1
2023-10-17-00-25-10,1
2023-10-17-00-27-11,1
2023-10-17-00-30-12,0
2023-10-17-00-31-12,1
2023-10-17-00-32-14,0
2023-10-17-00-37-11,1
2023-10-17-00-38-10,0
2023-10-20-21-02-11,1
2023-10-20-21-04-06,0
2023-10-20-21-05-06,1
2023-10-20-21-06-06,0
2023-10-20-21-07-06,1
2023-10-20-21-08-06,0
2023-10-20-21-10-07,1
2023-10-20-21-11-07,0
2023-10-24-21-40-07,1
2023-10-24-22-19-08,0
2023-10-24-22-24-08,1
2023-10-24-22-43-08,0
2023-10-24-23-20-07,1
2023-10-24-23-21-08,1
2023-10-25-00-07-07,0
2023-10-25-07-00-27,1
2023-10-25-17-42-00,1
2023-10-25-19-50-00,1
2023-10-25-20-21-00,1
2023-10-25-20-30-10,0
2023-10-26-07-00-09,1
2023-10-26-19-00-09,0
2023-10-27-07-00-11,1
2023-10-27-11-00-10,0
2023-10-30-07-03-09,1
2023-10-30-07-50-00,0
2023-10-31-17-30-09,1
2023-10-31-20-11-09,1
2023-10-31-20-12-07,1
2023-10-31-20-13-07,1
2023-10-31-20-14-09,1
2023-10-31-20-15-07,1
2023-10-31-20-16-07,1
2023-10-31-20-47-01,1
2023-10-31-21-00-11,0
2023-11-01-07-00-10,1
2023-11-01-08-29-00,1
2023-11-01-08-50-00,1
2023-11-01-10-15-00,0
2023-11-01-10-40-01,1
2023-11-01-10-45-00,0
2023-11-01-17-30-13,1
2023-11-01-19-00-16,0
2023-11-02-07-00-12,1
2023-11-02-11-15-00,0
2023-11-03-12-32-09,1
2023-11-03-12-35-00,1
2023-11-03-12-37-01,1
2023-11-03-12-45-00,0
2023-11-03-12-55-00,1
