{'1': 'event', '2': 'startup', '4': '2023-11-06 22:40:37'}
{'1': 'decision', '2': 'albatros', '3': 0, '4': '2023-11-06 22:40:38'}
{'1': 'state', '2': 'albatros', '3': 0, '4': '2023-11-06 22:40:38'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 22:40:39'}
{'1': 'event', '2': 'override update', '3': {'success': 1}, '4': '2023-11-06 22:40:40'}
{'1': 'event', '2': 'schedule update', '3': {'success': 1}, '4': '2023-11-06 22:40:50'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 22:41:00'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 22:41:00'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 22:41:00'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {1: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 22:41:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:41:03'}
{'1': 'state', '2': 'external temp', '3': 9.1, '4': '2023-11-06 22:41:03'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 22:41:22'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {1: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 22:41:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:41:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:42:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:42:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:43:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:43:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:44:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:44:30'}
{'1': 'state', '2': 'external temp', '3': 8.9, '4': '2023-11-06 22:44:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:45:01'}
{'1': 'state', '2': 'external temp', '3': 8.8, '4': '2023-11-06 22:45:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:45:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:46:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:46:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:47:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 22:47:30'}
{'1': 'event', '2': 'startup', '4': '2023-11-06 22:49:22'}
{'1': 'decision', '2': 'albatros', '3': 0, '4': '2023-11-06 22:49:23'}
{'1': 'state', '2': 'albatros', '3': 0, '4': '2023-11-06 22:49:23'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 22:49:24'}
{'1': 'event', '2': 'override update', '3': {'success': 1}, '4': '2023-11-06 22:49:25'}
{'1': 'event', '2': 'schedule update', '3': {'success': 1}, '4': '2023-11-06 22:49:34'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 22:50:00'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 22:50:00'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 22:50:00'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 22:50:01'}
